爱不释手,喜爱得舍不得放手
爱莫能助,"虽然同情,但无力相助||虽然心中关切同情，却没有力量帮助"
爱民如子,爱护百姓像爱护自己的子女||旧时用以称颂帝王或官吏对老百姓仁爱||旧时称赞某些统治者爱护百姓，就象爱护自己的子女一样
悔罪自新 ,悔改罪行，重新做人||悔改罪行，重新做人
授受不亲 ,旧指男女不能互相亲手递受物品||指儒家束缚男女的礼教||旧指男女不能互相亲手递受物品||指儒家束缚男女的礼教
按兵不动,使军队暂不行动||现也比喻暂不开展工作||使军队暂不行动||现也比喻暂不开展工作
暗渡陈仓,比喻用造假象的手段来达到某种目的||也隐喻男女私通||比喻用造假象的手段来达到某种目的||也隐喻男女私通
傲慢无礼,态度傲慢，对人不讲礼节||态度傲慢，对人不讲礼节
哀鸿遍野,比喻啼饥号寒的灾民||比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民||比喻啼饥号寒的灾民||比喻在天灾人祸中到处都是流离失所、呻吟呼号的饥民
家喻户晓,家家户户都知道||形容人所共知||家家户户都知道||形容人所共知
八仙过海,后以比喻各自拿出本领或办法，互相竞赛||相传八仙过海时不用舟船，各有一套法术||民间因有“八仙过海，各显神通”的谚语||后以比喻各自拿出本领或办法，互相竞赛
百花齐放,比喻各种不同形式和风格的艺术自由发展||也形容艺术界的繁荣景象||形容百花盛开，丰富多彩||比喻各种不同形式和风格的艺术自由发展||也形容艺术界的繁荣景象
百川归海,比喻大势所趋或众望所归||也比喻许多分散的事物汇集到一个地方||许多江河流入大海||比喻大势所趋或众望所归||也比喻许多分散的事物汇集到一个地方
不耻下问,乐于向学问或地位比自己低的人学习，而不觉得不好意思||乐于向学问或地位比自己低的人学习，而不觉得不好意思
沧海一粟,大海里的一粒谷子||比喻非常渺小||大海里的一粒谷子||比喻非常渺小
错落有致,形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感||形容事物的布局虽然参差不齐，但却极有情趣，使人看了有好感
小试锋芒 ,比喻稍微显示一下本领||比喻稍微显示一下本领
打草惊蛇,原比喻惩罚了甲而使乙有所警觉||后多比喻做法不谨慎，反使对方有所戒备||打草惊了草里的蛇||原比喻惩罚了甲而使乙有所警觉||后多比喻做法不谨慎，反使对方有所戒备
答非所问,回答的不是所问的内容||回答的不是所问的内容
灯火辉煌,形容夜晚灯光明亮的繁华景象||形容夜晚灯光明亮的繁华景象
东施效颦,比喻模仿别人，不但模仿不好，反而出丑||有时也作自谦之词，表示自己根底差，学别人的长处没有学到家||比喻胡乱模仿，效果极坏
东山再起,指退隐后再度出任要职||也比喻失势后重新恢复地位||指再度出任要职||也比喻失势之后又重新得势
对牛弹琴,讥笑听话的人不懂对方说得是什么||用以讥笑说话的人不看对象||讥笑听话的人不懂对方说得是什么||用以讥笑说话的人不看对象
风流潇洒,英俊有才华，气度超脱||英俊有才华，气度超脱
风云变幻,象风云那样变化不定||比喻时局变化迅速，动向难以预料||象风云那样变化不定||比喻时局变化迅速，动向难以预料
浮光掠影,水面的光和掠过的影子，一晃就消逝||比喻观察不细致，学习不深入，印象不深刻||水面的光和掠过的影子，一晃就消逝||比喻观察不细致，学习不深入，印象不深刻
刚正不阿,刚强正直，不逢迎，无偏私||刚强正直，不逢迎，无偏私
各显神通,比喻做事各有各的一套办法，也比喻各自拿出本领互相比赛
各抒己见,各人充分发表自己的意见||各人充分发表自己的意见
隔靴搔痒,比喻说话作文不中肯、不贴切，没有抓住要点||或做事没有抓住关键||隔着靴子搔痒痒||比喻说话作文不中肯，不贴切，没有抓住要点||或做事没有抓住关键
毛遂自荐 ,毛遂自我推荐||比喻自告奋勇，自己推荐自己担任某项工作||毛遂自我推荐||比喻自告奋勇，自己推荐自己担任某项工作
功成名就,功绩取得了，名声也有了||功绩取得了，名声也有了
孤注一掷,把所有的钱一次押上去，决一输赢||比喻在危急时用尽所有力量作最后一次冒险||把所有的钱一次押上去，决一输赢||比喻在危急时用尽所有力量作最后一次冒险
刮目相看,指别人已有进步，不能再用老眼光去看他||指别人已有进步，不能再用老眼光去看他
挂一漏万,形容说得不全，遗漏很多||形容说得不全，遗漏很多
借题发挥 ,借着某件事情为题目来做文章，以表达自己真正的意见或主张||也指假借某事为由，去做其它的事||借着某件事情为题目来做文章，以表达自己真正的意见或主张||也指假借某事为由，去做其它的事
归心似箭,想回家的心情像射出的箭一样快||形容回家心切||想回家的心情像射出的箭一样快||形容回家心切
狗尾续貂,貂尾不够用了拿狗尾巴来顶替，指封官太滥||后来比喻用不好的东西接在好的后面，前后非常不相称||晋代皇帝的侍从官员用作帽子的装饰||指封官太滥||亦比喻拿不好的东西补接在好的东西后面，前后两部分非常不相称
高风亮节,形容道德和行为都很高尚||形容道德和行为都很高尚
高朋满座,高贵的朋友坐满了席位||形容宾客很多||高贵的朋友坐满了席位||形容宾客很多
高山流水,比喻知己或知音，也比喻乐曲高妙||比喻知己或知音||也比喻乐曲高妙
高谈阔论,多指不着边际地大发议论||多指不着边际地大发议论
鹤立鸡群,像鹤站在鸡群中一样||比喻一个人的仪表或才能在周围一群人里显得很突出||象鹤站在鸡群中一样||比喻一个人的仪表或才能在周围一群人里显得很突出
哄堂大笑,形容满屋子的人同时大笑||形容全屋子的人同时大笑
狐假虎威,狐狸借老虎的威势||比喻仰仗别人的势力来欺压人||狐狸假借老虎的威势||比喻依仗别人的势力欺压人
画龙点睛,原形容梁代画家张僧繇作画的神妙||后多比喻写文章或讲话时，在关键处用几句话点明实质，使内容更加生动有力||原形容梁代画家张僧繇作画的神妙||后多比喻写文章或讲话时，在关键处用几句话点明实质，使内容生动有力
画蛇添足,画蛇时给蛇添上脚||比喻做了多余的事，非但无益，反而不合适||也比喻虚构事实，无中生有||画蛇时给蛇添上脚||比喻做了多余的事，非但无益，反而不合适||也比喻虚构事实，无中生有
化险为夷,化危险为平安，比喻将危险转为平安||化危险为平安||比喻转危为安
豁然开朗,形容由狭窄幽暗突然变得宽阔明亮||比喻突然领悟，思路豁然开阔||从黑暗狭窄变得宽敞明亮||比喻突然领悟了一个道理
八面玲珑,本指窗户宽敞明亮，后用来形容人处世圆滑，待人接物面面俱到||本指窗户明亮轩敞||后用来形容人处世圆滑，待人接物面面俱到
欢聚一堂,欢乐地聚集在一起||欢乐地聚集在一起
欢声雷动,欢笑的声音像雷一样响着||形容热烈欢呼的动人场面||欢笑的声音象雷一样响着||形容热烈欢乎的动人场面
黄粱一梦,比喻虚幻不能实现的梦想||比喻虚幻不能实现的梦想
井底之蛙,井底的蛙只能看到井口那么大的一块天||比喻见识狭窄的人||井底的蛙只能看到井口那么大的一块天||比喻见识狭窄的人
噤若寒蝉,像深秋的蝉一声不吭||比喻因害怕或有顾虑而不敢说话||象深秋的蝉那样一声不吭||比喻因害怕有所顾虑而不敢说话
刻舟求剑,比喻虚幻不能实现的梦想||又喻荣华富贵如梦一般，短促而虚幻||亦喻梦寐以求的愿望落空||比喻不懂事物已发展变化而仍静止地看问题
精卫填海,旧时比喻仇恨极深、立志报复||后比喻意志坚决，不畏艰难||精卫衔来木石，决心填平大海||旧时比喻仇恨极深，立志报复||后比喻意志坚决，不畏艰难
居安思危,虽然处在平安环境中，也要想到可能出现的危险||指要随时有应对意外事件的思想准备||虽然处在平安的环境里，也想到有出现危险的可能||指随时有应付意外事件的思想准备
两情相悦,指男女双方彼此情投意合
黯然失色 ,后比喻相形之下，某事物失去光彩，远不如人||本指心怀不好，脸色难看||后多比喻相形之下很有差距，远远不如
茅塞顿开,原指心里像有茅草堵住，现在突然被打开||比喻思想豁然开窍||原来心里好像有茅草堵塞着，现在忽然被打开了||形容思想忽然开窍，立刻明白了某个道理
没精打采,形容精神不振，提不起劲头||形容精神不振，提不起劲头
目不斜视,眼睛不偷看旁边||比喻为人行止端方，也形容只朝一个方向看||眼睛不偷看旁边||比喻为人行止端方||也形容只朝一个方向看
目中无人,眼里没有别人||形容骄傲自大，看不起人||眼里没有别人||形容骄傲自大，看不起人
名落孙山,名字落在榜末孙山的后面||指考试或选拔未被录取||名字落在榜末孙山的后面||指考试或选拔没有录取
明日黄花,原本形容重阳节后的残菊||后来比喻过时或无意义的事物||原指重阳节过后逐渐萎谢的菊花||后多比喻过时的事物或消息
南辕北辙,想往南而车子却向北行||比喻行动和目的正好相反||想往南而车子却向北行||比喻行动和目的正好相反
以身报国 ,把身体献给国家||指宁愿为国家的安危奉献自己的生命||把身体献给国家||指宁愿为国家的安危奉献自己的生命
仇深似海 ,仇恨极深
兴致索然 ,一点儿兴趣都没有||一点儿兴趣都没有
鹏程万里,相传鹏鸟能飞万里路程||比喻前程远大||相传鹏鸟能飞万里路程||比喻前程远大
平心静气,心情平和，态度冷静||心情平和，态度冷静
乘热打铁 ,比喻做事抓紧时机，加速进行||比喻做事抓紧时机，加速进行
普天同庆,天下的人或全国的人共同庆祝||天下的人或全国的人共同庆祝
破釜沉舟,比喻下决心不顾一切地干到底||比喻下决心不顾一切地干到底
气象万千,形容景象或事物壮丽而多变化||形容景象或事物壮丽而多变化
气宇轩昂,形容人精力充沛，风度不凡||形容人精力充沛，风度不凡
招摇过市 ,指在公开场合大摇大摆地显示声势，引人注意||指在公开场合大摇大摆显示声势，引人注意
兵连祸结 ,战争接连不断，带来了无穷的灾祸||战争接连不断，带来了无穷的灾祸
情深似海,形容情爱深厚，像大海一样不可量||形容情爱深厚，像大海一样不可量
心想事成,心里想到的，都能成功||多用于祝福语
穷山恶水,形容自然条件非常恶劣的地方||形容自然条件非常差
忍辱负重,为了完成艰巨的任务，忍受暂时的屈辱||为了完成艰巨的任务，忍受暂时的屈辱
殊途同归 ,通过不同的途径，到达同一个目的地||比喻采取不同的方法而得到相同的结果||通过不同的途径，到达同一个目的地||比喻采取不同的方法而得到相同的结果
循规蹈矩 ,原指遵守规矩，不敢违反||现也指拘守旧准则，不敢稍做变动||循、蹈：遵循，依照||规、矩是定方圆的标准工具，借指行为的准则||原指遵守规矩，不敢违反||现也指拘守旧准则，不敢稍做变动
人琴俱亡,形容看到遗物，怀念死者的悲伤心情||形容看到遗物，怀念死者的悲伤心情
铁杵成针,比喻只要有毅力，肯下苦功，事情就能成功||比喻只要有毅力，肯下苦功，事情就能成功
条分缕析,形容分析得条理分明、极为严谨||有条有理地细细分析
痛心疾首,形容为痛恨或懊悔而心里极度难受、连头也痛||比喻悲痛或痛恨到了极点||形容痛恨到了极点
望梅止渴,原意：想吃梅子、流口水，就觉得不渴了||比喻用空想来安慰自己，尽管愿望无法实现||原意是梅子酸，人想吃梅子就会流涎，因而止渴||后比喻愿望无法实现，用空想安慰自己
望风而逃,远远看到对方气势很盛，就害怕得赶紧逃跑||形容非常怯敌||远远望见对方的气势很盛，就吓得逃跑了||形容十分怯敌
亡羊补牢,羊逃跑了再去修补羊圈，还不算晚||比喻出了问题之后及时补救，还能避免后续损失||羊逃跑了再去修补羊圈，还不算晚||比喻出了问题以后想办法补救，可以防止继续受损失
妄自菲薄,过分看轻自己，形容自卑、不自信||过分看轻自己||形容自卑
未雨绸缪,天还没下雨时，就把门窗缝补牢固||比喻事先做好准备，预防意外发生||天还没有下雨，先把门窗绑牢||比喻事先做好准备工作
温故知新,温习旧知识，从中获得新的理解与体会，也指借鉴过去以更好地认识现在||温习旧的知识，得到新的理解和体会||也指回忆过去，能更好地认识现在
学以致用,学习是为了应用||强调理论知识要与实际结合||为了实际应用而学习
悬崖勒马,行至悬崖边缘时勒住马||比喻及时醒悟，从危险或错误中回头||在高高的山崖边上勒住马||比喻到了危险的边缘及时清醒回头
扬长避短,发挥长处，回避短处||强调扬长补短，取长补短||发挥或发扬优点或有利条件，克服或回避缺点或不利条件
掩耳盗铃,捂住自己的耳朵去偷铃铛，以为听不到别人也不会听到||比喻自欺欺人||偷铃铛怕别人听见而捂住自己的耳朵||比喻自己欺骗自己，明明掩盖不住的事情偏要想法子掩盖
全力以赴  ,将全部力量用上去||把全部力量都投入进去
丰富多彩  ,形容种类、花色繁多||内容丰富，花色繁多
余波未平  ,指某一事件虽然结束了，可是留下的影响还在起作用||指某一事件虽然结束了，可是留下的影响还在起作用
脱颖而出  ,锥尖透过布囊显露出来||比喻本领全部显露出来||锥尖透过布囊显露出来||比喻本领全部显露出来
实事求是  ,指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质||通常指按照事物的实际情况办事||指从实际对象出发，探求事物的内部联系及其发展的规律性，认识事物的本质||通常指按照事物的实际情况办事
一如既往  ,与从前完全一样||指态度没有变化，完全象从前一样
众所周知  ,"不需要举出例证,人人都知道||大家普遍知道的||大家普遍知道的"
因地制宜  ,"根据不同地区的具体条件,制定相应的妥善措施||根据各地的具体情况，制定适宜的办法"
千方百计  ,"想尽一切办法,用尽各种计谋||想尽或用尽一切办法||想尽或用尽一切办法"
层出不穷,接连不断地出现，没有穷尽||接连不断地出现，没有穷尽
莫名其妙  ,说不出其中的奥妙||指事情很奇怪，说不出道理来||说不出其中的奥妙||指事情很奇怪，说不出道理来
名列前茅  ,比喻名次列在前面||本为古代军队前哨斥候为通报后军而举的茅草||后用以比喻评比、考试等名位排列在前几名||比喻名次列在前面
络绎不绝,形容行人车马来来往往，接连不断||形容行人车马来来往往，接连不断
弄虚作假,"耍花招,用虚伪面目或假冒物品行骗||耍花招欺骗人||耍花招欺骗人"
任重道远  ,"担子重,路途远||比喻肩负需经历长期奋斗的重任||比喻责任重大，要经历长期的奋斗||担子很重，路很远||比喻责任重大，要经历长期的奋斗"
奋发有为  ,精神振作，有所作为||精神振作，有所作为
引人注目,由于与众不同或明显的特性而引起人的注意||吸引人们注意||吸引人们注意
深入人心  ,指思想、理论、学说、主张等为人们所理解和接受||指理论、学说、政策等为人们深切了解和信服||指理论、学说、政策等为人们深切了解和信服
落地生根  ,比喻长期安家落户|| ||比喻切切实实﹑一心一意地做好所从事的工作||比喻长期安家落户或切切实实、一心一意地做好所从事的工作
势在必行  ,不能躲开或回避||事情发展的趋势看，必须采取行动||从事情发展的趋势看，必须采取行动
史无前例  ,"谓在历史上是空前的,找不到同样的例子||前所未有||历史上从来没有过的事||指前所未有||历史上从来没有过的事||指前所未有"
理所当然  ,按道理应该如此||应当如此||按道理应当这样||按道理应当这样
耳熟能详  ,"耳朵听得多了,熟悉得能详尽地说出来||指听得多了，能够说得很清楚、很详细||指听得多了，能够说得很清楚、很详细"
由来已久  ,事情从发生到现在已经过了很长时间了||事情从发生到现在已经过了很长时间了
厉行节约  ,严格地实行节约||严格地实行节约
恶性循环  ,"若干事物,互为因果,循环不已,越来越坏||许多坏事互为因果，循环不已，越来越坏||许多坏事互为因果，循环不已，越来越坏"
铤而走险  ,"指没有办法,只得冒险||指在无路可走的时候采取冒险行动||指在无路可走的时候采取冒险行动"
举世瞩目  ,全世界的人都注意着||形容某一重大事件受到世人的普遍关注||全世界的人都注视着
足不出户  ,不出大门一步||谓闭门自守||脚不跨出家门||脚不跨出家门
翻天覆地,"天翻地覆,形容变化之大||也指闹得很凶||形容变化巨大而彻底||也指闹得很凶||形容变化巨大而彻底||也指闹得很凶"
不可思议,指怪诞出乎常情||原有神秘奥妙的意思||现多指无法想象，难以理解||原有神秘奥妙的意思||现多指无法想象，难以理解
下落不明,指不知道要寻找的人或物在什么地方||指不知道要寻找的人或物在什么地方
排忧解难  ,"排除忧愁,解除困难||排除忧愁，解除困难"
玩忽职守  ,由于工作疏忽而对他人或公众造成损害的行为||不认真、不负责地对待本职工作||不认真、不负责地对待本职工作
当务之急,当前任务中最急切要办的事||当前任务中最急切要办的事
坚持不懈  ,保持不变，毫不松懈||坚持到底，一点不忪懈||坚持到底，一点不忪懈
举足轻重  ,"以一人向背,可以影响两方面的安危成败||比喻能起到影响全局的关键作用||只要脚移动一下，就会影响两边的轻重||指处于重要地位，一举一动都足以影响全局||只要脚移动一下，就会影响两边的轻重||指处于重要地位，一举一动都足以影响全局"
卓有成效  ,有显著、突出的成绩或效果：全国人民正卓有成效地建设有中国特色的社会主义||有突出的成绩和效果||有突出的成绩和效果
不正之风,指以各种手段谋取私利和一切违反社会主义政治、道德准则的现象||不正当的社会风气||不正当的社会风气
滥用职权,指过分地或非法地行使自己掌握的权力||指过分地或非法地行使自己掌握的权力
赞不绝口  ,不住嘴的夸奖||不住口地称赞
义不容辞  ,"为了道义、大局,不能推辞||道义上不允许推辞||道义上不允许推辞"
绳之以法  ,谓以法律为准绳来加以惩治||指对违法者执行法律||根据法律制裁||根据法律制裁
尽如人意  ,完全符合人的心愿||事与愿合||事情完全符合人的心意||事情完全符合人的心意
有所作为  ,可以做事情，并能取得较大的成绩||可以做事情，并能取得较大的成绩
对症下药  ,原指医生针对病情处方用药||现在常用来比喻针对具体情况决定采取措施或处理办法||针对病症用药||比喻针对事物的问题所在，采取有效的措施||针对病症用药||比喻针对事物的问题所在，采取有效的措施
出谋划策  ,制定计谋策略||指为人出主意||制定计谋策略||指为人出主意
四面八方  ,指各个方面或各个地方||指各个方面或各个地方
首当其冲  ,"首先受到攻击,首先遭遇灾难||比喻最先受到攻击或遭到灾难||比喻最先受到攻击或遭到灾难"
马不停蹄,"奔波忙碌,不得休息||比喻时刻不停顿地前进||比喻不停顿地向前走||比喻不停顿地向前走"
在所难免  ,表示很不容易避免||指由于某种限制而难于避免||指由于某种限制而难于避免
燃眉之急  ,"十分紧急,如同火烧眉毛||火烧眉毛那样紧急||形容事情非常急迫||火烧眉毛那样紧急||形容事情非常急迫"
图文并茂  ,"指书刊中的文字流畅,插图丰富精美||指在一篇文章里，图片和文字都很丰富多彩，互相陪衬、相得益彰||"
不绝于耳  ,声音在耳边不断鸣响||声音在耳边不断鸣响
数以万计  ,以万来计算||
立竿见影  ,"竹竿立在阳光下,立刻就看到影子||比喻立见成效||在阳光下把竿子竖起来，立刻就看到影子||比喻立刻见到功效"
与日俱增  ,一天天增长||形容增长快||随着时间一天天地增长||形容不断增长||随着时间一天天地增长||形容不断增长
衣食住行  ,"穿衣,吃饭,住宿,行路||泛指生活上的基本需求||泛指穿衣、吃饭、住房、行路等生活上的基本需要"
炉火纯青 ,道士炼丹，认为炼到炉里发出纯青色的火焰就算成功了||后用来比喻功夫达到了纯熟完美的境界||比喻功夫达到了纯熟完美的境界
急功近利  ,"于求得成功,只图近期得利,形容目光短浅、胸无大志||急于求成，贪图眼前的成效和利益||急于求成，贪图眼前的成效和利益"
鲜为人知  ,很少有人知道
根深蒂固  ,"根基牢固,不可动摇||已变成性格的中心,难于或不能改变、减少或消灭||比喻基础深厚，不容易动摇||比喻基础深厚，不容易动摇"
博大精深  ,形容思想和学识广博高深||形容思想和学识广博高深||形容思想和学识广博高深
大有可为  ,"指前途极有希望,值得去做||事情有发展前途，很值得做||事情有发展前途，很值得做"
惊心动魄  ,使人神魂震惊||原指文辞优美，意境深远，使人感受极深，震动极大||后常形容使人十分惊骇紧张到极点||使人神魂震惊||原指文辞优美，意境深远，使人感受极深，震动极大||后常形容使人十分惊骇紧张到极点
不亦乐乎  ,用来表示极度、非常、淋漓尽致地意思||用来表示极度、非常、淋漓尽致地意思
独立自主  ,"未被奴役,不受他人主宰||不依靠外力或不受外界影响的||多指国家或政党维护主权，不受别人的控制或支配||多指国家或政党维护主权，不受别人的控制或支配"
浅尝辄止 ,稍微尝试一下就停止，不往深处钻研||略微尝试一下就停下来||指不深入钻研
相得益彰  ,互相配合和补充更能显出长处、发挥作用||指两个人或两件事物互相配合，双方的能力和作用更能显示出来||指两个人或两件事物互相配合，双方的能力和作用更能显示出来
取信于民,取得人民的信任||取得人民的信任
解疑释惑 ,解答疑难问题，消除困惑情绪
不速之客 ,指没有邀请突然而来的客人
心服口服 ,心里嘴上都信服||指真心信服
东拼西凑 ,比喻零乱地加以拼凑
一落千丈 ,原指琴声陡然降落||后用来形容声誉、地位或经济状况急剧下降
原原本本 ,从头到尾按原来的样子||指详细叙述事情的全部起因和整个过程，一点不漏
火上浇油 ,往火上倒油||比喻使人更加愤怒或使情况更加严重
就事论事 ,按照事物本身的性质来评定是非得失||现常指仅从事物的表面现象孤立、静止、片面地议论
没完没了 ,无尽无休，无穷无尽
报效祖国 ,为国家做出贡献、报答国家的养育之恩
劳民伤财 ,既使人民劳苦，又耗费钱财||现也指滥用人力物力
危言耸听 ,指故意说些夸大的吓人的话，使人惊疑震动
天马行空 ,天马奔腾神速，象是腾起在空中飞行一样||比喻诗文气势豪放||也比喻人浮躁，不踏实
煞费苦心 ,形容费尽心思
自欺欺人 ,欺骗自己，也欺骗别人
讳莫如深 ,原意为事件重大，讳而不言||后指把事情隐瞒得很紧
断章取义 ,指不顾全篇文章或谈话的内容，孤立地取其中的一段或一句的意思||指引用与原意不符
五彩缤纷 ,指颜色繁多，非常好看
进退两难 ,前进和后退都难||比喻事情无法决定，因而难以行动
改过自新 ,改正错误，重新做起
一口咬定 ,一口咬住不放||比喻坚持一个说法，再不改口
急于求成 ,急着要取得成功
严惩不贷 ,严厉惩罚，绝不宽恕
疲惫不堪 ,形容非常疲乏
百折不挠 ,比喻意志坚强，无论受到多少次挫折，毫不动摇退缩
一家老小 ,指全家人||一个家庭中的全部成员
大显身手 ,充分显示出本领和才能
兴旺发达 ,事物或事业充分发展、欣欣向荣的景象
头破血流 ,头打破了，血流满面||多用来形容惨败
浑水摸鱼 ,比喻乘混乱的时候从中捞取利益
不容置疑 ,不允许有什么怀疑||表示论证严密，无可怀疑
孜孜不倦 ,指工作或学习勤奋不知疲倦
长久之计 ,长远的打算
闻名遐迩 ,形容名声很大，远近都知道
千辛万苦 ,各种各样的艰难困苦
指手画脚 ,指说话时做出各种动作||形容说话时放肆或得意忘形
赫赫有名 ,声名非常显赫
灭顶之灾 ,指被水淹死||比喻毁灭性的灾难
如影随形 ,好像影子总是跟着身体一样||比喻两个人关系亲密，常在一起
风调雨顺 ,风雨及时适宜||形容风雨适合农时
无所作为 ,没有做出任何成绩||指工作中安于现状，缺乏创造性
茶余饭后 ,泛指休息或空闲的时候
痛哭流涕 ,形容伤心到极点
高屋建瓴 ,把瓶子里的水从高层顶上倾倒||比喻居高临下，不可阻遏
走马观花 ,骑在奔跑的马上看花||原形容事情如意，心境愉快||后多指大略地观察一下
