爱不释手,喜爱得舍不得放手
步调一致 ,比喻行动和谐一致
憨态可掬 ,形容人或动物表现出单纯、天真而可爱的样子，给人一种亲切的感觉
蒙在鼓里 ,好像被包在鼓里一样||比喻受人蒙蔽，对有关的事情一点儿也不知道
屡教不改 ,多次教育，仍不改正
歪风邪气 ,指不良的作风和风气
失之交臂 ,形容当面错过
漫天要价 ,无限度地乱要价||形容所提出的条件、要求过高
平心而论 ,平心静气地给予客观评价
不在话下 ,指事物轻微，或者理所当然，不值得一提
还本付息 ,债务人按照约定的时间表和金额来偿还借款本金和支付利息的过程
担惊受怕 ,形容十分担心或害怕
约定俗成 ,指事物的名称或社会习惯往往是由人民群众经过长期社会实践而确定或形成的
廉洁奉公 ,廉洁不贪，忠诚履行公职，一心为公
果不其然 ,果然如此||指事物的发展变化跟预料的一样
晴天霹雳 ,晴天打响雷||比喻突然发生意外的，令人震惊的事件
正本清源 ,从根本上整顿，从源头上清理||比喻从根本上加以整顿清理
不负众望 ,不辜负大家的期望
瞬息万变 ,在极短的时间内就有很多变化||形容变化很多很快
不可逾越 ,不可能超过或不可能越过
靠天吃饭 ,指依赖自然条件来过日子
语焉不详 ,指虽然提到了，但说得不详细
悲痛欲绝 ,悲哀伤心到了极点
各显神通 ,每个人都能够发挥自己的才能和智慧，展现出独特的优势和能力
前赴后继 ,前面的冲上去了，后面的紧跟上来||形容不断投入战斗，奋勇冲杀向前
翻山越岭 ,翻越不少山头||形容野外工作或旅途的辛苦
临危受命 ,在危难之际接受任命
忐忑不安 ,心神极为不安
不拘一格 ,不局限于一种规格或一个格局
有机可乘 ,有空子可钻
漫山遍野 ,山上和田野里到处都是||形容很多
赞叹不已 ,连声赞赏不止
而立之年 ,人到三十岁可以自立的年龄||后为三十岁的代称
不假思索 ,形容做事答话敏捷、熟练，用不着考虑
不屈不挠 ,比喻在压力和困难面前不屈服，表现十分顽强
潸然泪下 ,形容眼泪流下来
礼尚往来 ,指礼节上应该有来有往||现也指以同样的态度或做法回答对方
条条框框 ,被视为固定的、不能变通的条例规定
灵机一动 ,急忙中转了一下念头（多指临时想出了一个办法）
引人入胜 ,引人进入佳境||现多用来指风景或文艺作品特别吸引人
若无其事 ,象没有那回事一样||形容遇事沉着镇定或不把事情放在心上
熟视无睹 ,看惯了就象没看见一样||也指看到某种现象，但不关心，只当没有看见
骇人听闻 ,使人听了非常吃惊、害怕
趋利避害 ,奔向有利的一面，而避开有害的一面
供过于求 ,供给的数量超过需要的数量
交口称赞 ,异口同声地称赞
精力充沛 ,体力强盛，精神充足
冠冕堂皇 ,形容外表庄严或正大的样子
分道扬镳 ,分路而行||比喻目标不同，各走各的路或各干各的事
荷枪实弹 ,扛着枪，上了子弹||形容全副武装，准备投入战斗
老生常谈 ,老书生经常说的话||比喻人们听惯了的没有新鲜意思的话
彻头彻尾 ,从头到尾，全部，十足的意思
活灵活现 ,形容神情逼真，使人感到好像亲眼看到一般
安身立命 ,指生活有着落，精神有所寄托
风雨同舟 ,在狂风暴雨中同乘一条船，一起与风雨搏斗||比喻共同经历患难
游手好闲 ,指人游荡懒散，不愿参加劳动
心灰意冷 ,灰心失望，意志消沉
耸人听闻 ,夸大或捏造事实，使人听了感到惊异或震动
网开一面 ,把捕禽的网撤去三面，只留一面||比喻采取宽大态度，给人一条出路
精兵强将 ,精良的士兵，勇猛的将领||形容战斗力很强的将士
电闪雷鸣 ,闪电飞光，雷声轰鸣||比喻快速有力||也比喻轰轰烈烈
星罗棋布 ,像天空的星星和棋盘上的棋子那样分布着||形容数量很多，分布很广
谈何容易 ,原指臣下向君主进言很不容易||后指事情做起来并不象说的那样简单
三缄其口 ,在他嘴上贴了三张封条||形容说话谨慎||现在也用来形容不肯或不敢开口
众目睽睽 ,许多人争着眼睛看着||指在广大群众注视之下
混为一谈 ,把不同的事物混在一起，当作同样的事物谈论
不能自拔 ,不能主动地从痛苦、错误或罪恶中解脱出来
多才多艺 ,具有多方面的才能和技艺
不欢而散 ,很不愉快地分手
井井有条 ,形容说话办事有条有理
鳞次栉比 ,像鱼鳞和梳子齿那样有次序地排列着||多用来形容房屋或船只等排列得很密很整齐
自以为是 ,总以为自己是对的||形容主观，不虚心
腾空而起 ,向高空升起
不动声色 ,在紧急情况下，说话、神态仍跟平时一样没有变化||形容非常镇静
稳扎稳打 ,稳当而有把握地打击敌人||比喻有把握、有步骤地工作
似曾相识 ,好像曾经见过||形容见过的事物再度出现
空空如也 ,原形容诚恳、虚心的样子||现形容一无所有
危在旦夕 ,形容危险就在眼前
开诚布公 ,指以诚心待人，坦白无私
可歌可泣 ,值得歌颂、赞美，使人感动流泪||形容英勇悲壮的感人事迹
口诛笔伐 ,从口头和书面上对坏人坏事进行揭露和声讨
釜底抽薪 ,把柴火从锅底抽掉||比喻从根本上解决问题
口口声声 ,形容一次一次地说，或经常说
举世闻名 ,全世界都知道||形容非常著名
光明正大 ,原指明白不偏邪||现多指心怀坦白，言行正派
一门心思 ,指一心一意
不一而足 ,指同类的事物不只一个而是很多，无法列举齐全
文山会海 ,形容文件会议多得泛滥成灾
德艺双馨 ,形容一个人的德行和艺术（技艺）都具有良好的声誉||一般指从事艺术的人
顾全大局 ,指从整体的利益着想，使不遭受损害
能上能下 ,指干部不计较职位高低，不论处于领导岗位或在基层从事实际工作，都能踏踏实实地干||实行能上能下，是对干部职务终身制的一项重要改革
胆战心惊 ,形容十分害怕
坚韧不拔 ,形容意志坚定，不可动摇
起死回生 ,把快要死的人救活||形容医术高明||也比喻把已经没有希望的事物挽救过来
全神贯注 ,全部精神集中在一点上||形容注意力高度集中
死里逃生 ,从极危险的境地中逃脱，幸免于死
一马当先 ,原指作战时策马冲锋在前||形容领先||也比喻工作走在群众前面，积极带头
平安无事 ,平平安安，没出什么事故
厚积薄发 ,多多积蓄，慢慢放出||形容只有准备充分才能办好事情
无理取闹 ,毫无理由地跟人吵闹||指故意捣乱
当机立断 ,在紧要时刻立即做出决断
八方支援 ,形容各方面都支持、援助
深情厚谊 ,深厚的感情和友谊
名存实亡 ,名义上还存在，实际上已消亡
如释重负 ,象放下重担那样轻松||形容紧张心情过去以后的的轻松愉快
雷打不动 ,形容态度坚定，不可动摇||也形容严格遵守规定，决不变更
一望无际 ,一眼望不到边||形容非常辽阔
与世隔绝 ,与社会上的人们隔离，断绝来往||形容隐居或人迹不到的极偏僻地方
门可罗雀 ,大门之前可以张起网来捕麻雀||形容十分冷落，宾客稀少
大摇大摆 ,走路时身子摇摇摆摆||形容自以为了不起的傲慢神态
将信将疑 ,有点相信，又有点怀疑
饶有兴趣 ,令人感到很有趣，并十分注意
勤勤恳恳 ,形容勤劳踏实||也形容勤恳的样子
心旷神怡 ,心境开阔，精神愉快
柴米油盐 ,泛指一日三餐的生活必需品
心照不宣 ,彼此心里明白，而不公开说出来
半途而废 ,指做事不能坚持到底，中途停顿，有始无终
半信半疑 ,有点相信，又有点怀疑||表示对真假是非不能肯定
无计可施 ,没有办法可用
轻装上阵 ,指作战时不披盔甲，比喻放下思想包袱投入工作
一塌糊涂 ,形容混乱或败坏到了不可收拾的程度
震撼人心 ,指某件事对人内心震动很大
后来居上 ,后来的超过先前的||用以称赞后起之秀超过前辈
并驾齐驱 ,并排套着的几匹马一齐快跑||比喻彼此的力量或才能不分高下
不时之需 ,说不定什么时候会出现的需要
自告奋勇 ,主动要求担任某项艰巨的任务
东山再起 ,指再度出任要职||也比喻失势之后又重新得势
锒铛入狱 ,用铁链锁起来，投入监狱
轻车简从 ,行装简单，跟随的人少（多指有地位的人）
通力合作 ,不分彼此，一齐出力
石沉大海 ,石头沉到海底||比喻从此没有消息
隐姓埋名 ,隐瞒自己的真实姓名，不让别人知道
愤愤不平 ,心中不服，感到气愤
一鼓作气 ,第一次击鼓时士气振奋||比喻趁劲头大的时候鼓起干劲，一口气把工作做完
心安理得 ,自以为做的事情合乎道理，心里很坦然
千头万绪 ,比喻事情的开端，头绪非常多||也形容事情复杂纷乱
冰天雪地 ,形容冰雪漫天盖地
奋发向上 ,精神振作，情绪高昂，具有积极向上的进取心，愿意努力奋斗
后起之秀 ,后来出现的或新成长起来的优秀人物
谨言慎行 ,谨、慎：小心，慎重||言语行动小心谨慎
时过境迁 ,随着时间的推移，情况发生变化
必争之地 ,敌对双方非争夺不可的战略要地
唯利是图 ,只要有利可图，什么事都干
居高临下 ,占据高处，俯视下面||形容占据的地势非常有利
事无巨细 ,事情不分大小||形容什么事都管
无孔不入 ,比喻有空子就钻
势不可挡 ,来势迅猛，不可抵挡
烟消云散 ,象烟云消散一样||比喻事物消失得干干净净
席地而坐 ,泛指在地上坐
豁然开朗 ,从黑暗狭窄变得宽敞明亮||比喻突然领悟了一个道理
义愤填膺 ,发于正义的愤懑充满胸中
不进则退 ,不前进就要后退
身先士卒 ,作战时将领亲自带头，冲在士兵前面||现在也用来比喻领导带头，走在群众前面
一概而论 ,指处理事情或问题不分性质，不加区别，用同一标准来对待或处理
无忧无虑 ,没有一点忧愁和顾虑
手舞足蹈 ,两手舞动，两只脚也跳了起来||形容高兴到了极点||也手乱舞、脚乱跳的狂态
千呼万唤 ,形容再三催促
各取所需 ,各自选取自己所需要的
遥遥领先 ,远远地走在最前面
杳无音信 ,没有一点消息
相濡以沫 ,泉水干了，鱼吐沫互相润湿||比喻一同在困难的处境里，用微薄的力量互相帮助
先入为主 ,指先听进去的话或先获得的印象往往在头脑中占有主导地位，以后再遇到不同的意见时，就不容易接受
横七竖八 ,有的横，有的竖，杂乱无章||形容纵横杂乱
痛心疾首 ,形容痛恨到了极点
千军万马 ,形容雄壮的队伍或浩大的声势
可有可无 ,可以有，也可以没有||指有没有都无关紧要
化整为零 ,把一个整体分成许多零散部分
阳奉阴违 ,指玩弄两面派手法，表面上遵从，暗地里违背
沉默寡言 ,不声不响，很少说话
你追我赶 ,形容竞赛激烈，大家都不甘落后
顺手牵羊 ,顺手把人家的羊牵走||比喻趁势将敌手捉住或乘机利用别人||现比喻乘机拿走别人的东西
渐入佳境 ,原指甘蔗下端比上端甜，从上到下，越吃越甜||后比喻境况逐渐好转或兴趣逐渐浓厚
听之任之 ,任凭事物存在发展而不去过问
束手就擒 ,捆起手来让人捉住||指毫不抵抗，乖乖地让人捉住
心无旁骛 ,心思没有另外的追求，形容心思集中，专心致志
以防万一 ,用以防备难以预料的事情
振聋发聩 ,声音很大，使耳聋的人也听得见||比喻用语言文字唤醒糊涂麻木的人，使他们清醒过来
杳无音讯 ,没有一点消息
情有可原 ,按情理，有可原谅的地方
尽力而为 ,用全部的力量去做
投机取巧 ,指用不正当的手段谋取私利||也指靠小聪明占便宜
小题大做 ,指拿小题目作大文章||比喻不恰当地把小事当作大事来处理，有故意夸张的意思
约法三章 ,原指订立法律与人民相约遵守||后泛指订立简单的条款
不屑一顾 ,认为不值得一看||形容极端轻视
自圆其说 ,指说话的人能使自己的论点或谎话没有漏洞
人尽其才 ,每个人都能充分发挥自己的才能
迎来送往 ,走的欢送，来的欢迎||形容忙于交际应酬
财大气粗 ,①指富有财产，气派不凡||②指仗着钱财多而气势凌人
从容应对 ,不慌不忙地应付答对
随波逐流 ,随着波浪起伏，跟着流水漂荡||比喻没有坚定的立场，缺乏判断是非的能力，只能随着别人走
望子成龙 ,希望自己的子女能在学业和事业上有成就
鸡毛蒜皮 ,比喻无关紧要的琐碎事情
肃然起敬 ,形容产生严肃敬仰的感情
公平交易 ,公平合理的买卖
束之高阁 ,捆起来以后放在高高的架子上||比喻放着不用
因噎废食 ,原意是说，因为有人吃饭噎死了，就想让天下人都不吃饭，这太荒谬了||比喻要做的事情由于出了点小毛病或怕出问题就索性不去干
火光冲天 ,火光把天都照亮了，形容火势极大
另起炉灶 ,另外重支炉灶||比喻放弃原来的，另外从头做起
打破常规 ,打破了一般的规矩或一向实行的规章制度
饮食起居 ,指人的日常生活
青黄不接 ,旧粮已经吃完，新粮尚未接上||也比喻人才或物力前后接不上
面面俱到 ,各方面都能照顾到，没有遗漏疏忽||也指虽然照顾到各方面，但一般化
天涯海角 ,形容极远的地方，或相隔极远
语无伦次 ,话讲得乱七八糟，毫无次序
箭在弦上 ,箭已搭在弦上||比喻为形势所迫，不得不采取某种行动
朗朗上口 ,指诵读诗文时的声音响亮而顺口
舍近求远 ,舍去近处的，追求远处的||形容做事走弯路
置身事外 ,把自己放在事情之外，毫不关心
鞠躬尽瘁 ,指恭敬谨慎，竭尽心力
活蹦乱跳 ,欢蹦乱跳，活泼、欢乐，生气勃勃的样子
不寒而栗 ,不冷而发抖||形容非常恐惧
明辨是非 ,分清楚是和非、正确和错误
言简意赅 ,话不多，但意思都有了||形容说话写文章简明扼要
鸟语花香 ,鸟叫得好听，花开得喷香||形容春天的美好景象
避而不谈 ,躲避开而不肯说||指有意回避事实
头头是道 ,本为佛家语，指道无所不在||后多形容说话做事很有条理
安营扎寨 ,指部队驻扎下来||也比喻建立临时的劳动或工作基地
风尘仆仆 ,形容旅途奔波，忙碌劳累
前无古人 ,指以前的人从来没有做过的||也指空前的
无可非议 ,没有什么可以指责的||表示做得妥当
无所不能 ,没有什么不能做的||指样样能做
筋疲力尽 ,形容非常疲乏，一点力气也没有了
一来二去 ,指一回又一回，经过一段时间||表示逐渐的意思
张灯结彩 ,挂上灯笼，系上彩绸||形容节日或有喜庆事情的景象
一哄而上 ,没有经过认真准备和严密组织，一下子行动起来
不由分说 ,不容人分辩
难以预料 ,很难预先想到
酣畅淋漓 ,形容非常畅快
带头作用 ,在某个行动、活动或事情中起到带头作用，引导他人跟随或参与
南辕北辙 ,想往南而车子却向北行||比喻行动和目的正好相反
自由自在 ,形容没有约束，十分安闲随意
风风火火 ,形容急急忙忙，冒冒失失的样子
冒名顶替 ,为了达到自己的某种目的，假冒别人的姓名，代他去干事或窃取他的权力、地位
保家卫国 ,保卫家乡和祖国
年富力强 ,形容年纪轻，精力旺盛
不义之财 ,不应该得到的或以不正当的手段获得的钱财
事出有因 ,事情的发生是有原因的
见死不救 ,看见人家有急难而不去救援
人烟稀少 ,住户极少、居住分散
模棱两可 ,指不表示明确的态度，或没有明确的主张
人迹罕至 ,人很少到的地方||指偏僻荒凉的地方很少有人来过
中饱私囊 ,指侵吞经手的钱财使自己得利
三天两头 ,隔一天，或几乎每天||形容经常、频繁
一贫如洗 ,穷得象用水洗过似的，什么都没有||形容十分贫穷
没日没夜 ,犹言不分白天夜晚
见贤思齐 ,见到德才兼备的人就想赶上他
戒备森严 ,警戒防备极严密
千奇百怪 ,形容各种各样奇怪的事物
麻痹大意 ,指粗心、疏忽，对事物不敏感，失去警惕性
满载而归 ,装得满满地回来||形容收获很大
至高无上 ,高到顶点，再也没有更高的了
一草一木 ,比喻极微小的东西
扬长避短 ,发挥或发扬优点或有利条件，克服或回避缺点或不利条件
同甘共苦 ,共同享受幸福，共同担当艰苦
铜墙铁壁 ,原比喻防御十分坚固，不可摧毁||也比喻团结一致
孜孜以求 ,不知疲倦地探求
抱头痛哭 ,指十分伤心或感动，抱头大哭
移风易俗 ,改变旧的风俗习惯
独具匠心 ,具有独到的灵巧的心思||指在技巧和艺术方面的创造性
追悔莫及 ,后悔也来不及了
久负盛名 ,长时期地享有好的名声
过意不去 ,心中感到不安，感到抱歉
冷嘲热讽 ,用尖刻辛辣的语言进行讥笑和讽刺
泛滥成灾 ,江河湖泊的水溢出，造成灾害||比喻不好的文章或思想到处传播，影响极坏
横冲直撞 ,乱冲乱撞，蛮横无理
沾沾自喜 ,形容自以为不错而得意的样子
有血有肉 ,比喻富有生命的活力和内容||多用来形容文艺作品中人物形象生动
争奇斗艳 ,形容百花竞放，十分艳丽
精神恍惚 ,形容神思不定或神志不清
盘根错节 ,树木的根枝盘旋交错||比喻事情纷难复杂
大兴土木 ,大规模地盖房子
老泪纵横 ,老人泪流满面，形容极度悲伤或激动
雄心壮志 ,伟大的理想，宏伟的志愿
瞒天过海 ,用欺骗的手段在暗地里活动
丧心病狂 ,丧失理智，象发了疯一样||形容言行昏乱而荒谬，或残忍可恶到了极点
目不转睛 ,眼珠子一动不动地盯着看||形容注意力集中
礼崩乐坏 ,指封建礼教的规章制度遭到极大的破坏
寝食不安 ,睡不好觉，吃不好饭||十分忧虑担心的样子
九五之尊 ,旧指帝王的尊位
自成一格 ,指形成自己独特的风格
除旧布新 ,清除旧的，建立新的||以新的代替旧的
怜香惜玉 ,比喻男子对所爱女子的照顾体贴
三人成虎 ,三个人谎报城市里有老虎，听的人就信以为真||比喻说的人多了，就能使人们把谣言当事实
振振有辞 ,形容自以为理由充分，说个没完
鹬蚌相争 ,比喻双方相持不下，而使第三者从中得利
偷天换日 ,比喻暗中改变事物的真相，以达到蒙混欺骗的目的
同心合力 ,团结一致，共同努力
不共戴天 ,不愿和仇敌在一个天底下并存||形容仇恨极深
目光炯炯 ,两眼明亮有神
洁白无瑕 ,指物体或人的品质纯净、没有瑕疵
言为心声 ,言语是思想的反映，从一个人的话里可以知道他的思想感情
鸣锣开道 ,封建时代官吏出门时，前面开路的人敲锣喝令行人让路||比喻为某种事物的出现，制造声势，开辟道路
雄才大略 ,非常杰出的才智和谋略
不干不净 ,指不洁净，肮脏||也指因忌讳而感觉不洁净||也可形容语文不文明
旧话重提 ,过去说过的，现在又提起了
晨钟暮鼓 ,佛教规矩，寺里晚上打鼓，晚上敲钟||比喻可以使人警觉醒悟的话
时不再来 ,时机错过就不会再来了||指行事不要放过时机
倾国倾城 ,原指因女色而亡国||后多形容妇女容貌极美
如花似玉 ,像花和玉那样美好||形容女子姿容出众
小脚女人 ,因用以指思想保守的人
爱惜羽毛 ,比喻为珍惜自己的名声，行事十分谨慎
茂林修竹 ,茂密高大的树林竹林
百步穿杨 ,在一百步远以外射中杨柳的叶子||形容箭法或枪法十分高明
五毒俱全 ,指违法乱纪，各种坏事都做
踌躇不前 ,犹豫不决，不敢前进
未卜先知 ,没有占卜便能事先知道||形容有预见
含苞欲放 ,形容花将开而未开时的样子
百思不解 ,百般思索也无法理解
咫尺天涯 ,比喻距离虽近，但很难相见，象是远在天边一样
满面红光 ,形容心情舒畅，精神健旺的样子
倾囊相助 ,把衣袋里所有的钱都拿出来帮助别人
排除异己 ,排挤、清除和自己意见不同或不属于自己集团派系的人
志在四方 ,有远大的抱负和理想
才华出众 ,个体在智力、能力或专业水平方面超越普通人群
独揽大权 ,一个人把持着权力，独断专行
一定之规 ,一定的规律或规则||比喻已打定的主意
垂帘听政 ,指太后临朝管理国家政事
以逸待劳 ,指在战争中做好充分准备，养精蓄锐，等疲乏的敌人来犯时给以迎头痛击
脚不沾地 ,形容走得非常快，好像脚尖都未着地
安家立业 ,安置家庭，创立基业或事业||也指长期在一个地方劳动和生活
后生可畏 ,年轻人是可敬畏的||形容青年人能超过前辈
神情自若 ,神情态度仍和原来一样
天理难容 ,旧指做事残忍，灭绝人性，为天理所不容
半梦半醒 ,指睡眠尚未清醒
自卖自夸 ,自己卖的东西自己夸好||比喻为自己吹嘘
万籁俱寂 ,形容周围环境非常安静，一点儿声响都没有
于心何忍 ,怎能忍心||即内心不忍
徒劳无益 ,白费劲，没有一点用处
邯郸学步 ,比喻模仿人不到家，反把原来自己会的东西忘了
自食恶果 ,"""自己做了坏事，自己承受损害或惩罚"
大彻大悟 ,形容彻底醒悟
能工巧匠 ,指工艺技术高明的人
无可估量 难以估计,
轻装前进 ,以轻便的状态或心态向前迈进，强调减少负担、保持灵活性和积极性
四海为家 ,原指帝王占有全国||后指什么地方都可以当作自己的家||指志在四方，不留恋家乡或个人小天地
相生相克 ,指金、木、水、火、土五种物质的互相生发以互相克制的关系||后引申为一般物质之间的辩证关系
居功自傲 ,自以为有功劳而骄傲自大
青出于蓝 ,青是从蓝草里提炼出来的，但颜色比蓝更深||比喻学生超过老师或后人胜过前人
今不如昔 ,现在不如过去||多用于表示对世事的不满情绪
意在沛公 ,说话和行动的真实意图别有所指
有口难辩 ,虽然有口，却难以分辩清楚||常指含冤受屈但又无处申诉
指桑骂槐 ,指着桑树骂槐树||比喻表面上骂这个人，实际上是骂那个人
养虎为患 ,比喻纵容敌人，留下后患，自己反手其害
言归正传 ,指话头转回到正题上来||旧小说中常用的套语
三寸金莲 ,古代中国女性缠足后形成的小巧玲珑的脚
格物致知 ,穷究事物原理，从而获得知识
时运不济 ,时机和命运不佳
心神不定 ,心里烦躁，精神不安
水火无情 ,指水和火是不讲情面的，如疏忽大意，容易造成灾祸
似水流年 ,形容时间一去不复返
男耕女织 ,封建社会中的小农经济，一家一户经营，男的种田，女的织布||指全家分工劳动
望梅止渴 ,原意是梅子酸，人想吃梅子就会流涎，因而止渴||后比喻愿望无法实现，用空想安慰自己
羊肠小道 ,曲折而极窄的路（多指山路）
自寻烦恼 ,自找的烦闷苦恼||意思是，本来不该有烦闷苦恼
蜕化变质 ,比喻人堕落变坏
劳师动众 ,原指出动大批军队||现指动用很多人力
接风洗尘 ,指设宴款待远来的客人，以示慰问和欢迎
拈轻怕重 ,指接受任务时拣轻的担子挑，怕挑重担
秀外慧中 ,外表秀丽，内心聪明
自不量力 ,自己不估量自己的能力||指过高地估计自己的力量
说来话长 ,表示事情很复杂，不是几句话就能说清楚（多指不大愉快的事）
风卷残云 ,大风把残云卷走||比喻一下子把残存的东西一扫而光
敢作敢当 ,敢于放手行事，敢于承担责任
穷山恶水 ,形容自然条件非常差
龙争虎斗 ,形容斗争或竞赛很激烈
拼死拼活 ,①不顾一切地斗争||②用尽全部精力
百折不回 ,比喻意志坚强，无论受到多少次挫折，毫不动摇退缩
傲然挺立 ,形容坚强而不可动摇
学富五车 ,形容读书多，学识丰富
俗不可耐 ,庸俗得使人受不了
流水不腐 ,流动的水不会发臭||比喻经常运动的东西不易受侵蚀。
民生凋敝 ,社会穷困，经济衰败，人民生活极端困苦
思绪万千 ,指思想的头绪相当多，思虑复杂多端
所向无敌 ,力量所指向的地方，谁也抵挡不住||形容力量强大，无往不胜
奔波劳碌 ,忙碌奔走，不得悠闲。
因人制宜 ,根据人们的不同情况，采取适当的方法解决问题
弹冠相庆 ,指官场中一人当了官或升了官，同伙就互相庆贺将有官可做
不以规矩 ,如果不遵循一定的规则和标准，就无法达到预期的结果
方寸之地 ,内心或心灵的空间
成年累月 ,一年又一年，一月又一月||形容时间长久
群魔乱舞 ,成群的魔鬼乱跳乱蹦||比喻一批坏人在政治舞台上猖狂活动
钻木取火 ,硬木棒对着木头摩擦或钻进去，靠摩擦取火
壁垒森严 ,原指军事戒备严密||现也用来比喻彼此界限划得很分明
清心寡欲 ,保持心地清净，减少欲念
阴错阳差 ,比喻由于偶然的因素而造成了差错
仙风道骨 ,仙人的风度，道长的气概||形容人的风骨神采与众不同
以身殉国 ,忠于自己的国家而献出生命
鼠目寸光 ,形容目光短浅，没有远见
瞄准射击 ,通过视觉调整动作使投射物命中目标的动作
逼良为娼 ,①指强迫良家妇女卖淫||②比喻被迫做某件坏事
千回百转 ,形容反复回旋或进程曲折
凄风冷雨 ,形容天气恶劣||后用来比喻境遇悲惨凄凉
益寿延年 ,指延长寿命，增加岁数
又红又专 ,具有无产阶级的世界观，又掌握专业知识和专门技术
